worker	sentence	label
worker0	#0761	For me it is not necessary to have a wheelchair at all.
worker0	#0135	A lot of people took a commemorative photo.
worker0	#0158	The contract will be done by the shopping company.
worker0	#0704	She had surgery for breast cancer at a university hospital five years ago.
worker0	#0278	There are many places in the whole country that are the scenes of autumnal leaves and the stage of Noh music.
worker0	#0268	I have a safe image about Japanese food.
worker0	#0414	I will see more details on related products of early childhood education.
worker0	#0394	I am planning on December 4th.
worker0	#0100	People who are interested in Africa exchange information and opinions.
worker0	#0584	Most people had time to meditate.
worker8	#0407	Cows judge us from a big eye patiently.
worker8	#0256	I completely have no relation in whether that's made my company.
worker8	#0620	Chinese noodles making can be experienced actually
worker8	#0326	He does an improvement study of a processing technology mainly
worker8	#0240	Many students have a part time job
worker8	#0011	I think that's a movie in a Showa early stage
worker8	#0782	There is no spiritual culture which brings self-control up in Japan yet
worker8	#0353	A city office is administrative document, not free, it's being distributed
worker8	#0572	We have results in more than 30 in many entertainment facilities and commercial establishment
worker8	#0332	We aid the necessary one of nursing with daily life
worker9	#0052	Second grade junior high school did workplace  experience.
worker9	#0545	One tree is male and female both properties.
worker9	#0561	Each have a character each.
worker9	#0724	I already had consultations more than 1,000 all countory.
worker9	#0209	Crafty man is pretends to be the leader of the fool.
worker9	#0070	People of committee did on greetings.
worker9	#0151	To the resident of European area, I do not sell the products.
worker9	#0235	Mother of Yamada took counsel   a teacher.
worker9	#0709	Everyone receive １２month education at school to become a player
worker9	#0105	He works a scaffold-related work in a building company
worker7	#0628	I can not create a new post on my blog recently.
worker7	#0223	The people who is completely doing everything will fail to do.
worker7	#0549	31 people have something disable to their body.
worker7	#0769	There are tons of examples which I misunderstood.
worker7	#0381	The local governments should think how to make happiness.
worker7	#0457	It is like I saw a scene of movie.
worker7	#0673	The fever reached 40 degrees straightly.
worker7	#0282	There is a word in bibles.
worker7	#0418	For more information, please visit the company’s website.
worker7	#0588	Each has unique tastes and smells.
worker10	#0514	There are many English companies in leading logistic companies in Europe.
worker10	#0408	He looks state of open day tentatively.
worker10	#0218	Days from 1st to 15th are transfer period of tax certificate.
worker10	#0615	Network connection can be done easily through cellphone with cordless.
worker10	#0455	Neighborhood saw that the child is taken away.
worker10	#0531	Such person has absolute confidence in himself almost.
worker10	#0365	He does front sitting in national assembly and council request action from 11 o'clock to 1 o'clock.
worker10	#0567	Each one has mood of the age.
worker10	#0345	Our hotel makes meeting with event organizer in advance.
worker10	#0530	You should have more interest about problems of entire society.
worker0	#0339	From time to time, the supplier repaired the dangerous part.
worker0	#0474	The sound of the second hand of the watch is very comfortable to the ear.
worker0	#0739	You have to get the town mayor's decision.
worker0	#0366	For new customers, staff will explain fees, contents, etc. in advance.
worker0	#0005	I think Yamada is a type of person liked by everyone.
worker0	#0340	In case of many applicants, he will adjust the schedule.
worker0	#0341	From time to time, he will make changes in functions and correct matters.
worker0	#0296	There is a trade-off between index creation cost and search cost.
worker0	#0233	Splenectomy takes 56% by 5 years of age.
worker0	#0232	I am excited about the Pacific League fans myself from now.
worker11	#0331	We provide information of infection and medical for health care worker.
worker11	#0773	There is no reason that such a miserable young crew belongs to the institution.
worker11	#0440	Long time no see,I watched the wide show in the evening.
worker11	#0129	The staff have a meeting with craftsman.
worker11	#0694	I saw the same scene in a movie.
worker11	#0452	He sees bulletin board looking for a pen pall.
worker11	#0324	Weather conditions means a state in which the selected item is larger then the set value.
worker11	#0348	For date registration,you first register category of information.
worker11	#0399	Our company thinks about house and health of family.
worker11	#0621	You can calculate  your daily calorie easily.
worker12	#0774	All we could say honestly was that he did not have any motivation to do this. 
worker12	#0034	30.2 percents people rely on the opinions of salesperson. 
worker12	#0294	Many opinions are not evaluated as good one from a real spot. 
worker12	#0330	We would like to cooperate with local people directly. 
worker12	#0378	It is the person who use this practically that I have a plan to give the advices. 
worker12	#0726	This is the first time to be received the direct ownership by one prefecture in Japan. 
worker12	#0586	He did not have any exact information. 
worker12	#0654	After standing up, he left a room and never got back again. 
worker12	#0631	Finally, I could get time to focus on fixing it up during my break. 
worker12	#0590	Everyone could not help having hopes for the future of game industries. 
worker13	#0337	He considers the enforcement tehod for the seminar.
worker13	#0658	I exclaimed when I see beautiful scenery.
worker13	#0063	I assume the total sum of the budget 202,840,000 yen.
worker13	#0375	I display the exhibition by cultural club.
worker13	#0351	He does a health check first, in every morning.
worker13	#0185	The people in front of me, expects it for me.
worker13	#0270	I have the tendency to come to like a person who acts voluntary.
worker13	#0546	It has a struture that i similar to that of hurman female hormones.
worker13	#0285	Of course, the hospital and I, the director of the hospital take responsibillity.
worker13	#0010	I guess that it wa made around Momoyama period.
worker7	#0377	The staff will do an engine support in this day.
worker7	#0619	You can choose the delivery day and time if you will use it.
worker7	#0215	He will request a brochure to each health assurance company.
worker7	#0354	He assured material property and life characteristics.
worker7	#0400	He is seriously thinking if he buy it or not.
worker7	#0731	The Watercolor Course was gotten an interview of a magazine.
worker7	#0083	The people who has a graduate gemologist will inspect.
worker7	#0195	1st students studied how to play keyboard harmonica.
worker7	#0404	We should think of the stracture of society that we rarely get guns.
worker7	#0249	There is possible to infect everyone in case of Secondary syphilis.
worker14	#0539	He examine how to implement the seminar
worker14	#0663	I get some energies when I get a small change
worker14	#0393	He seriously thought of changing jobs to a nearby company
worker14	#0181	I was dizzy with a powerful word from my boss
worker14	#0156	We will provide services for the purpose of reducing the burden on our families
worker14	#0571	The staff keeps such awareness
worker14	#0368	We will recruit opinions as follows
worker14	#0538	All children have that kind of sensitivity
worker14	#0488	People who buy after this is definitely better to buy it
worker14	#0169	Yamada and Sato practice singing together
worker15	#0627	The shop can eat with a calm atmosphere slowly.
worker15	#0392	Each one thinks about the way of the education once again.
worker15	#0575	A human being knowing it have room toward a heart.
worker15	#0700	It never drives fast when I take the wrong timing.
worker15	#0721	Most people suffered some kind of damage.
worker15	#0171	Yamada and the person of the sound did adjustment of the time.
worker15	#0543	Oneself has one's thought well.
worker15	#0451	He watches the product of this category more.
worker15	#0643	The present situation was not able to get a head.
worker15	#0466	Various people seem to watch this blog.
worker16	#0157	Two actresses made men excited.
worker16	#0560	Everyone has the first prize of the task.
worker16	#0347	He develops the business brand and consulting of the company.
worker16	#0328	We work mainly at the college.
worker16	#0770	There is no place like that.
worker16	#0556	I have responsibile about what they do.
worker16	#0325	He worked for about ten years over sixty countries.
worker16	#0616	Poeple who need help can get help servise.
worker16	#0635	I can't say anything.
worker16	#0370	He has a idea for business to companies.
worker17	#0469	He saw the outside world through the window pane of the coffee shop.
worker17	#0746	Both labor and management receive restrictions in period.
worker17	#0302	There are a numerous achievements in the development of business systems.
worker17	#0320	He outspeaks his opinions to his teachers and friends.
worker17	#0141	Four people reported their achieving award to Mayor Yamada yesterday.
worker17	#0540	Japan has the cutting edge technology.
worker17	#0327	He will regularly examine blood pressure control and medication situation.
worker17	#0728	2707 items were designated as important tangible folk-cultural properties.
worker17	#0555	That had 90 years of history.
worker17	#0737	56% of the private corporation made loans for fund.
worker14	#0196	More than 15 million people travel abroad
worker14	#0718	He first receives a job request from a company
worker14	#0601	You can easily book a hotel in Japanese from Japan easily
worker14	#0271	There are several kinds of encoding methods
worker14	#0428	He saw recent news for the first time in a long time
worker14	#0334	He continually improves the blogging system
worker14	#0676	He left a ticket gate at the local station on the way home from the company
worker14	#0297	There are two systems in the reduction and exemption system of the National Tax Law
worker14	#0333	He cooked an old toy together.
worker14	#0189	As a general rule, the deadline for submitting the plan is within one year
worker0	#0106	Set up the product to the factory default settings.
worker0	#0649	I hardly have symptoms of hay fever.
worker0	#0049	You have changed the transfer time to one second.
worker0	#0352	Our company produce and sell original embroidery patches and embroidery products.
worker0	#0612	When I went to a shop before 11 o'clock, already nearly 30 people were queuing.
worker0	#0290	There are two pieces of information on this page.
worker0	#0592	Not everyone has a mobile phone.
worker0	#0373	The administrator promptly deletes personal information.
worker0	#0230	The person who was watching it gave advice to a person.
worker0	#0551	I have children of the same age.
worker18	#0290	This page has two infomation
worker18	#0782	No cultuer in Japan growing identity
worker18	#0718	At first,he accept request of the job
worker18	#0534	It affects determin of government of US 
worker18	#0337	He do plan of seminer excuting manual
worker18	#0705	Get permission of mayor,if you put advertising
worker18	#0271	There are many type  in manner of encode
worker18	#0726	Receive transfer of direct authority from prefecture in the country at first
worker18	#0564	It works rather smell poppy
worker18	#0018	I think it's wasteful for spenfing fifty minitue
worker16	#0746	Both workers and companies have limit time.
worker16	#0585	He worn  laser shirt and pants with a camera in his hand.
worker16	#0371	Educational rework office made seven ideas.
worker16	#0567	Each of them have the history.
worker16	#0392	Everyone think about education again.
worker16	#0324	Weather occation is bigger than what you choose.
worker16	#0572	We work for many amusment places and marchandise places over thirty years.
worker16	#0240	Most of the students works.
worker16	#0151	We don't sell who lives in Europe.
worker16	#0307	He said what he would do to me.
worker7	#0707	He was approved by the Mayor in advance.
worker7	#0181	I felt dizzy by my boss’s strong words.
worker7	#0341	He will correct the change of functions and conditions.
worker7	#0583	Not all people still have their own websites.
worker7	#0377	The staff will do an engine support in this day.
worker7	#0375	The culture system of club will exhibit their works.
worker7	#0770	There is no place such as it around this area.
worker7	#0739	We should be accept to mayor’s decision.
worker7	#0195	1st year students studied how to play keyboard harmonicas.
worker7	#0676	He left the wicket of his home station after his job.
worker15	#0709	I receive 12-month education at school to become a player.
worker15	#0220	Most people train the action.
worker15	#0282	There are such words in the Bible.
worker15	#0635	I cannot readily write the comment.
worker15	#0532	It has power so as to control sales.
worker15	#0717	I received the report of the use of a system given priority to a public vehicle having been started.
worker15	#0196	People more than 15 million travel abroad.
worker15	#0169	Yamada and Sato practice the song together.
worker15	#0099	I intend for a person enjoying woman disguise secretly.
worker15	#0731	A picture in watercolors lecture was interviewed for the magazine.
worker10	#0627	We can have a meal slowly on calm mood in the shop.
worker10	#0100	People that have interest in Africa exchange information and opinions.
worker10	#0339	Traders repaired the dangerous place.
worker10	#0351	He performs health checking in every morning first.
worker10	#0173	Consumers apply for membership to credit card company.
worker10	#0363	Our company conducted the settings of the venue.
worker10	#0185	People in front of me expect me.
worker10	#0063	Total budget is set to 202.84 million.
worker10	#0157	Two actresses pinch male fans eyes.
worker10	#0005	I think that Yamada is the person of type that is preferred by everyone.
worker19	#0716	He receives an explanation of content of the lesson by Mr.Yamada.
worker19	#0331	We offer the information of an infectious disease and medical care for health care workers.
worker19	#0365	It is he who stage a sit-in in front of the National Diet and appeal an assemblyman from 11am to 1pm.
worker19	#0469	He saw the world outside through the window of the cafe.
worker19	#0549	There are 31people with any physically disabilities.
worker19	#0373	The manager deletes personal informations immediately.
worker19	#0374	He makes an prescribed examination of qualifications for admission in advance.
worker19	#0156	We provide the service for the purpose of lighten the burden imposed on your families.
worker19	#0079	I've telephoned for quite a number companies to ask.
worker19	#0396	We consider that the problems and future directions of environmental issues.
worker20	#0566	One volatile substance has germinatin inhibition effect. 
worker20	#0476	It is just the right balance to stick out a little.
worker20	#0551	I have the same age child. 
worker20	#0586	He had little correct information.
worker20	#0230	A man who had seen it warned.
worker20	#0616	Someone who needs nursing care can use external insurance service of nursing care.
worker20	#0204	Someone who don't know anything about house building calculate like this. 
worker20	#0545	A single tree have both male and female characteristics.  
worker20	#0418	For more details, please check our company homepage. 
worker20	#0296	The cost of index creation and search cost are being the trade-off relationship.   
worker15	#0335	He announced 18 minutes with that title.
worker15	#0721	Most people suffered some kind of damage.
worker15	#0558	It has a big relation in our life.
worker15	#0584	Most people had time for meditation.
worker15	#0562	He has two things which she likes.
worker15	#0273	Until the wait time, I still have time.
worker15	#0334	He improves the blog system continuously.
worker15	#0744	It receives much support to a woman in her 30s.
worker15	#0619	When I use this, in a date, I can appoint the delivery time.
worker15	#0631	At last there was time to arrange it by the end of a holiday.
worker2	#0336	The professor gave a keynote speech on this subject.
worker2	#0070	The members of the committee held a greeting campaign.
worker2	#0531	Such people usually have absolute confidence in themselves.
worker2	#0106	Set the product to factory default settings.
worker2	#0268	I have an image that Japanese food is safe.
worker2	#0702	We are regularly inspected by local authorities.
worker2	#0265	There is a shop in an hour's drive.
worker2	#0359	The program buys and sells stocks automatically.
worker2	#0330	We will actively support activities in the community.
worker2	#0249	In the case of secondary syphilis, there is a risk of infection in all cases.
worker13	#0400	He is thinking about buying it seriously.
worker13	#0560	All members have the level one class technician.
worker13	#0347	He performs business brand development and the consulting of the company.
worker13	#0380	He considers about the method for the diets.
worker13	#0215	He request the documents for the each insurance company.
worker13	#0083	The qualified diamond appraisers examine it.
worker13	#0029	I decide that his proposal plans deadline is within one year. 
worker13	#0575	The persons with understanding it, have the time to act it.
worker13	#0357	It calculates the end time automatically.
worker13	#0232	I am exciting now, because I like  the Pacific League. 
worker4	#0621	You can easily calculate daily calories.
worker4	#0288	At the committee, there was a report that we would like to complete by the end of this fiscal year.
worker4	#0297	There are two systems for the reduction and exemption of the national health insurance tax.
worker4	#0694	A similar scene appeared in the movie.
worker4	#0368	Comments will be invited as follows.
worker4	#0747	Many people benefit from the service.
worker4	#0256	It has nothing to do with whether or not you join them.
worker4	#0761	I don't need a wheelchair at all.
worker4	#0345	We hold a meeting with event organizers in advance.
worker4	#0688	A person who has lived a passive life, goes out into society.
worker3	#0381	Local governments must first consider how to create happiness.
worker3	#0360	We will provide the following services for our employees.
worker3	#0466	It seems that many people are watching this blog.
worker3	#0344	He will practice for an hour and a half in the gymnasium.
worker3	#0328	The main activities of universities are as follows.
worker3	#0553	It has nearly the same performance as asphalt mixture.
worker3	#0354	He evaluated material properties and life characteristics.
worker3	#0646	Each one was very satisfied and went home.
worker3	#0340	If there are many applicants, he will arrange the schedule.
worker3	#0520	The current health care system is very problematic.
worker16	#0066	We help you with your works.
worker16	#0548	Many people have bad images to the word.
worker16	#0773	He is too young and no ability to in this office.
worker16	#0530	You should concern about the world.
worker16	#0710	It is infulluenced the middle sea culture.
worker16	#0611	You can work anytime you want.
worker16	#0737	Fifty-six percent of the company got money from other.
worker16	#0543	You should have your own idea.
worker16	#0327	He sometimes checks blood presure and when do you have medicine.
worker16	#0383	I think like that everytime.
worker15	#0539	He does not have such knowledge.
worker15	#0538	All the children have such a sensitivity.
worker15	#0067	It is aimed for the development of the clinical study and the improvement the medical treatment level.
worker15	#0700	It never drives fast when I take the wrong timing.
worker15	#0546	It has female sex hormone of the Homo sapiens and similar structure.
worker15	#0221	People of the left wing and the dissident did talks.
worker15	#0457	I seem to totally look at the scene of the movie.
worker15	#0352	I perform the production of the original embroidery emblem and the production sale of the embroidery product.
worker15	#0189	I did a presentation time limit of the schedule as a general rule with less than one year.
worker15	#0622	The patient of chronic sharp pain, the cancerous sharp pain can be treated.
worker16	#0724	I advised more than one thousand all over Japan.
worker16	#0601	You can book a hotel in Japanese easily from Japan.
worker16	#0719	I got the question  from many people.
worker16	#0309	Eighty percent of the shop use noodles which made by themselves.
worker16	#0494	This is the best sour and sweet of all.
worker16	#0681	It says that we have a directry access errer.
worker16	#0745	He won a prize of protection of the town from prime minister. 
worker16	#0011	The movie must be made in early Showa period.
worker16	#0588	Each of them has its own taste and flaver.
worker16	#0034	Thirty point two percent of the peple decide their choice from the shop workers. 
worker0	#0649	I hardly have symptoms of hay fever.
worker0	#0612	When I went to a shop before 11 o'clock, already nearly 30 people were queuing.
worker0	#0320	He clearly express his opinion to his teacher and his friends.
worker0	#0366	For new customers, staff will explain fees, contents, etc. in advance.
worker0	#0285	Of course hospital, and there are all of the responsibility on me as a director.
worker0	#0488	Absolutely is better there for people who buy from now.
worker0	#0223	People who thought that everything could be perfect made a mistake.
worker0	#0308	Yamada told me as relieved.
worker0	#0338	He actively transmits and exchanges child-rearing information in the area.
worker0	#0571	The staff will continue to have such awareness.
worker15	#0333	He made old toys together.
worker15	#0452	He reads the note of the recruitment of e-mail friend bulletin board.
worker15	#0555	It had the history of 90 years.
worker15	#0052	The second grader of the junior high school did workplace experience.
worker15	#0536	It has big implication in Yamada.
worker15	#0171	Yamada and the person of the sound did adjustment of the time.
worker15	#0413	He watched other works of this author in July.
worker15	#0541	One software has both functions.
worker15	#0329	We perform all allied duties other than it.
worker15	#0615	Is easily cordless; via the carrying can connect to the net.
worker21	#0540	There are some advanced technologies in Japan.
worker21	#0526	There were many contents that can be used for class at once.
worker21	#0348	When we register the data, we will first register for the information categories.  
worker21	#0384	I am thinking two methods concretely.
worker21	#0129	The staff in charge will plan to meet with the craftsman.
worker21	#0386	The rest will depend on what the people  who read the book think about.
worker21	#0049	You have changed  the time for transfering one second.
worker21	#0663	I will somehow get more energetic when I get a little money.
worker21	#0353	Municipal office is distributing administrative materials for a fee.
worker21	#0514	Many major European logistics companies are British companies.
worker10	#0590	Everyone had hopes in future of game industry.
worker10	#0408	He looks state of open day tentatively.
worker10	#0364	Along serving this service, you must not to conduct following actions.
worker10	#0774	There was no such mind entirely in principal.
worker10	#0284	Of course, we have confidentiality.
worker10	#0074	Representative of children conducted greeting message to parents and grandparents.
worker10	#0209	Crafty people pretend to be admiral of idiot.
worker10	#0628	Recently, update of blog cannot be done quite.
worker10	#0361	He performs management consulting service for smaller companies.
worker10	#0326	He does improvement study of processing technologies mainly.
worker17	#0244	This is very effective for preventing tooth decay.
worker17	#0143	He kisses good morning on her lips.
worker17	#0318	Dropouts are those who have been taking part for less that 15 months and age is under.
worker17	#0218	The period for submitting certificate of tax payment is from 1st to 15th.
worker17	#0135	Numerous people were taking photos in commemoration.
worker17	#0015	I hope he would always be in the top position.
worker17	#0658	Beautiful sceneries just makes us exclaim with admire.
worker17	#0233	56% of people remove their spleens before age of  5.
worker17	#0474	The ticking sound of the second hand sounds very nice.
worker17	#0617	You can easily set your weekly schedule.
worker15	#0399	We regard the health of the family as a house.
worker15	#0733	The person who came in front received the feeling called the victory practically.
worker15	#0158	A company of the shopping does the contract.
worker15	#0620	I can really have an experience made with ramen.
worker15	#0378	I really advise the usage in one using.
worker15	#0556	I take responsibility for their action.
worker15	#0370	He suggests the duties system for a company.
worker15	#0692	Such a person sometimes comes out to TV.
worker15	#0042	I need the residual period of the passport of the fixed period of time.
worker15	#0643	The present situation was not able to get a head.
worker18	#0278	Where are a lot of autumn leaves places in the country set in NOUGAKU 
worker18	#0393	He think seriously change job to near company
worker18	#0010	It is the work at Momoyama period before and after
worker18	#0270	I'm tend to love human devotedly action
worker18	#0111	He help cocking dinner and sweets together
worker18	#0279	Mr Yamada told me it was very hard
worker18	#0283	It has effect of promote circulation
worker18	#0038	Suffering from dementia living together
worker18	#0769	A lot of example that mistakenly remenbered
worker18	#0440	I saw evening TV show in a long time
worker15	#0332	We help the everyday life in necessary care.
worker15	#0342	You must discuss it beforehand.
worker15	#0704	She was operated on for the breast cancer in a university hospital five years ago.
worker15	#0673	I ran a fever to nearly 40 degrees in no time.
worker15	#0294	There are many cases which are not evaluated from the spot.
worker15	#0235	Mother of Yamada talked with a teacher.
worker15	#0451	He watches the product of this category more.
worker15	#0529	I was interested in a soft sense of touch by teeth very much.
worker15	#0527	The movie had many erotic scenes.
worker15	#0422	He had an old dream after a long absence last night.
worker15	#0654	When he leaves I just leave the room.
worker15	#0462	He watched the screen of the PC over a shoulder of Yamada.
worker15	#0350	I confirm order contents towards the order by all means.
worker15	#0105	He does a scaffold-related work in a building company.
worker15	#0561	Each has a characteristic in each.
worker15	#0141	I won it and four people reported it to Mayor Yamada yesterday.
worker15	#0407	Cows stare at us with big eyes.
worker15	#0298	There is one such thing in most islands.
worker15	#0626	I can easily change the password.
worker15	#0394	I consider December 4 days a plan.
worker13	#0455	A neighboring person saw the child with being kidnapped. 
worker13	#0592	Not everyone, but many people have a mobile phone.
worker13	#0325	He worked for about 10 years at the countries that it is more than 60 countries.
worker13	#0404	You should think the social method that it si hard to obtaion a gun.
worker13	#0624	With anonymity, it is not possible to take care of it later.
worker13	#0414	Read more on preschool educations products.
worker13	#0302	I have many experiments for the development of the financial business system.
worker13	#0428	He didn't watch the recent news for a long time.
worker13	#0728	2707 articles were designated as the important tangible folk cultural properties.
worker13	#0193	He asks the mayor to make preliminary arrangements.
worker20	#0335	He released it with that title for 18 minutes.
worker20	#0337	He considers implemental  method of this seminar.
worker20	#0339	The traders performed repairing work of danger zone at all time.
worker20	#0705	When you put an advertisement, you have to gain authorization of the mayor in advance.   
worker20	#0386	All that is left is to consider for the people reading it. 
worker20	#0745	He was given the Award for the Disaster Prevention Achievement by the Prime Minister.
worker20	#0719	I'm faced with that question from many people.
worker20	#0158	The shopping company makes that contract.
worker20	#0185	I'm expected to do well by the people in front of me. 
worker20	#0422	Last night, he saw old dream after a long time.  
worker18	#0052	2nd year of middle student experienced workshop
worker18	#0782	There are no spilit culture of grouwing identity
worker18	#0556	I owe to their action
worker18	#0716	He receives an explanation of lesson content by Mr.Yamada
worker18	#0396	On environmental issues, thinking issues and direction of future
worker18	#0015	I hope he is higher order always
worker18	#0564	It has effect of smell poppy
worker18	#0616	In the case of care recipient, can use external careinsurance service
worker18	#0704	She had operation of breast cancer at university hospital five years ago
worker18	#0336	Professor did keynote lecture in this theme
worker22	#0330	We support someone who need daily care.
worker22	#0407	The cows gaze us with its big eyes.
worker22	#0584	Most of them waited for time to meditate.
worker22	#0135	A lot of people took a memorial picture.
worker22	#0726	I receive the direct authority from prefecture for the first time.
worker22	#0527	That movie has a lot of erotic scenes.
worker22	#0256	It does not matter at all whether to make it a friend.
worker22	#0514	Most of major European logistics companies are in the UK.
worker22	#0105	He assemble foothold in a construction company.
worker22	#0350	We have to confirm the order to person who order.
worker0	#0067	It is aimed at developing clinical research and improving medical treatment level.
worker0	#0366	For new customers, staff will explain the price and contents etc. in advance.
worker0	#0209	Crafty person pretends to be a stupid general.
worker0	#0692	Sometimes people like this appear on TV.
worker0	#0673	Quickly heat came out to 40 degrees near.
worker0	#0347	He is responsible for the business brand development and consulting company.
worker0	#0681	Directory access error occurs.
worker0	#0129	The staff in charge will have a meeting with the craftsman.
worker0	#0249	In the case of 2 syphilis, there is a risk of infection to all.
worker0	#0455	Neighbors saw the moment of taking away children.
worker15	#0070	People of the committee worked on greetings.
worker15	#0541	One software has both functions.
worker15	#0288	In the committee there was the report of wanting to complete it by the end of this year.
worker15	#0538	All the children have such a sensitivity.
worker15	#0572	We have the results more than 30 years in many amusements commercial facilities.
worker15	#0627	The shop can eat with a calm atmosphere slowly.
worker15	#0562	He has two things which she likes.
worker15	#0141	I won it and four people reported it to Mayor Yamada yesterday.
worker15	#0534	It has constant influence for policymaking of the U.S. government.
worker15	#0320	He gives one's opinion to a teacher and a friend clearly.
worker15	#0308	Yamada told me to have been relieved.
worker15	#0526	There was much content to be able to make use of in a class immediately.
worker15	#0531	Such a person usually has absolute confidence toward oneself.
worker15	#0529	I was interested in a soft sense of touch by teeth very much.
worker15	#0380	I think about the method that he diets in various ways.
worker15	#0284	Of course, we have obligation of keeping secrecy
worker15	#0220	Most people train the action.
worker15	#0298	There is one such thing in most islands.
worker15	#0034	30.2% take the opinion of the salesperson into account.
worker15	#0156	I offer the service for the purpose of the reduction of the burden on family.
worker17	#0066	Staff will assist in creating the piece. 
worker17	#0157	The male fans could not keep their eyes off the two actresses.
worker17	#0709	You need to be educated at school to be a player.
worker17	#0099	This is only available for people who secretly enjoy disguising as a woman.
worker17	#0285	Of course, the hospital and I as the director of the hospital will take full responsibility.
worker17	#0029	He made it one year for deadline of submission for the plan.  
worker17	#0399	Our company cares about living and health for your family. 
worker17	#0011	We think that movie is from era of early Showa.
worker17	#0663	I somehow get encouraged when I have some coins in my hand.
worker17	#0592	Not all people have a cell phone.
worker18	#0364	 In providing this service,don't subjected to following acts 
worker18	#0370	He make a proposal of business system for company
worker18	#0361	He carries out management consulting service for small company
worker18	#0702	Periodically, subject to inspection of the institutions of local governments
worker18	#0331	We provide mefical information for health care workers of infectious diseases information and medical information
worker18	#0621	Daily calorie calculation is easily done
worker18	#0393	He sensitively think change the job to near company
worker18	#0718	He receives request of work from company at first 
worker18	#0739	Must receive decision of mayor
