worker	sentence	workeranswer
worker24	304	Not a single star could I see in the sky.
worker24	624	He does not have ears to listen to his father at all.
worker24	541	There happened to be a meeting that day.
worker24	794	It has been a decade since I started living here.
worker24	840	It is better talking to him.
worker24	305	There are a countless number of fish in the ocean.
worker24	159	The dictionary is useful and inexpensive on top of that.
worker24	834	On Sundays, I would often wake up early and went fishing.
worker24	875	I am going to have John reparing the clock.
worker95	203	I'm going to New York next week.
worker95	299	Do you think he enable to do the work?
worker95	439	You consider that my thought is outdated.
worker95	921	This car is not better than before it.
worker95	927	I don't mean to say such so .
worker95	655	Don't forget to wake me up at six  tomorrow morning.
worker95	220	I usually have tow cap of coffee every morning.
worker95	697	I didn't hard that I pretended my mother.
worker95	910	I usually read a newspaper before breakfast.
worker95	781	To tell the truth, I got married last year.
worker96	275	I've decided to become a journalist.
worker96	325	 It will rain today.
worker96	804	 In Japan it rain often in June.
worker96	415	By good luck, he was in time for the train.
worker96	358	This is the very book that I was looking for.
worker96	617	 If not careful, it is caught up in a problem.
worker96	542	He seldom, if ever, goes to the movies.
worker96	864	Please continue to practice after drinking the tea.
worker96	137	Please tell me how you go to the station.
worker96	667	I haven't heard a word from them in over four years.
worker30	853	As yet you have not swim year
worker30	318	Friend asked about your health letter
worker30	233	I read  best funny fantasy
worker30	822	Please tell me his house route
worker30	116	I can not agree new initiative
worker30	917	He has bikeandcar
worker30	626	He crying sad news
worker30	423	It is such the initiative execution
worker30	610	From staition to school walk 20minitue
worker30	391	This winter cold for the first time in ten years
worker24	801	I just went to my uncle off to the station.
worker24	834	On Sundays, I would often wake up early and go fishing.
worker24	306	We walked several minutes to come to the park.
worker24	804	In Japan, it rains the most in June.
worker24	906	I am supposed to meet her again within the next few days.
worker24	196	I have no idea what she is going to do.
worker24	318	My friend wrote me and asked to see how I was doing.
worker24	655	Don't forget to wake me up at 6 tomorrow morning.
worker24	805	Please never fail to take memo about what she says.
worker24	617	If you don't pay attention, you will get in trouble.
worker36	893	It's aready 11 o'clock, and time to sleep.
worker36	358	This is exactly the book I was looking for.
worker36	524	I don't want to go outside without a coat on such a cold day.
worker36	462	My pen is old. I want new one.
worker36	450	Whichever way you go, you will get to the station.
worker36	305	There are plenty of fish in the sea.
worker36	304	I couldn't see any stars in the sky.
worker36	788	I had been the person who do not trust anyone.
worker36	391	This is the coldest winter for the first time in ten years.
worker36	123	After you read the book, put it back where it was.
worker24	22	Her face was the first thing that came to my mind.
worker24	708	I came across with the girl I met at the park the other day.
worker24	921	This car does not run as pleasant as it used to be.
worker24	565	I am planning to engage with my father's job.
worker24	203	I am supposed to go to New York next week.
worker24	315	If it were not for the storm, I wold have made it on time.
worker24	910	I always read newspaper before breakfast.
worker24	415	Luckly, he was able to catch the train.
worker24	283	Don't give money to a child than necessary.
worker24	334	It is certain that the flight will be there on time.
worker10	626	He cried soon when he had heard the news.
worker10	931	He said me that he wants to quit the company.
worker10	481	Confirm whether you reserved the room on the hotel.
worker10	916	It's too late understanding the different.
worker10	864	Continue the practice after you drink tea.
worker10	363	The thief ran away to the station.
worker10	429	It's the best that taking the bath when tired.
worker10	256	If I pay you 1 dollar it is settled.
worker10	549	Newspapers are most valuable in today's world.
worker10	309	She carried my baggage kindly.
worker93	848	How long does it take to get there?
worker93	467	I'm happy that there's so much snow.
worker93	781	To tell you the truth, we got married last year.
worker93	173	He became wealthy since he starts this job.
worker93	822	Please tell me the way to his house.
worker93	373	Long ago, it seems like it was.
worker93	393	It's fun to take a trip by a car.
worker93	279	That's what she doesn't want to say.
worker93	888	I found a book that I lost yesterday.
worker93	927	There is no way I say that.
worker16	380	The boys sometimes do bad tihngs to a teacher.
worker16	504	He made a mistake that he put salt into coffee.
worker16	261	It is too heave for me to bring.
worker16	51	I go back home by 6pm everyday.
worker16	542	He never goes to see movies.
worker16	439	I think your idea is old.
worker16	233	This is the most interesting story I ever read.
worker16	33	She was very kind for me to show the town.
worker16	853	You are too young to go siwmming by yourself.
worker16	712	Read useful books to you.
worker97	301	You can get in touch with him at his home tonight.
worker97	624	He doesn't listen to his father at all.
worker97	667	I hadn't been hearing from him for 4 years.
worker97	378	I don't want to see myself at a loss anymore .
worker97	423	You are intend to enforce your plan, are you?
worker97	875	I would ask John to fix my watch.
worker97	104	The flight from Chicago arrived at the airport late at night.
worker97	10	Let's go home before the rain gets harder.
worker97	553	Let me go to get my ticket.
worker97	878	He is the only one who is talented in my friends.
worker18	541	It was happend meeting
worker18	253	The two politician toward the surface first time
worker18	555	We can swim at sea because hot
worker18	567	I interrupted work few hour to go to hospital
worker18	95	I hope cleaning room quickly
worker18	917	He has not only car but also bike 
worker18	152	Mary into a cold sweat for teachers word
worker18	840	It would better to talk him
worker18	646	I often walking early morning
worker18	159	The dictionary is so useful, and Inexpensive
worker13	299	Do you think that he can do the task?
worker13	288	I'm sorry to see you because of immediate work.
worker13	128	Tom has talking already for one hours by phone.
worker13	202	Harry was late for the yesterday class by accident.
worker13	220	I always drink two cups of coffee in the morning.
worker13	444	Few day ago, I met a classmate in the street.
worker13	275	I made a fresh resolution that I will become a journalist.
worker13	671	He is famous person in the city.
worker13	90	He rarely go to movies.
worker13	745	That is my uncle whos is waving to me.
worker24	17	I went to see him, but he was not at home.
worker24	186	When the time comes, that will take care of itself. 
worker24	610	It takes 20 minutes from the station to the school on foot.
worker24	794	It has been a decade since I started living here.
worker24	87	I thought I was not supposed to seat.
worker24	728	He is late for school often.
worker24	116	Regarding the new plan, I cannot agree with you.
worker24	137	Please show me how to get to the station.
worker24	697	It was not hard to pretend like my mother.
worker24	325	It will rain today.
worker92	822	Could you show me how to get to his house?
worker92	301	You can contact with him at his house tonight.
worker92	524	I don't want to go out without wearing a coat on such a cold day.
worker92	261	I can't handle this because it's too heavy.
worker92	186	Finger crossed.
worker92	256	It is enough if I pay you 1 dollar.
worker92	22	Her face just popped up in my mind.
worker92	288	I can't make time to meet you because of too much work.
worker92	283	Don't give too much money to your child.
worker92	152	Mary was very nervous when her teacher says something.
worker98	931	He told me that he wants to quit his job.
worker98	893	It is 11'o clock, and it is already bed time.
worker98	745	The person who is waving at me is my uncle.
worker98	159	The dictionary is useful and also not expensive.
worker98	10	Let's go home before the rain gets heavier.  
worker98	233	This is the most interesting story I have ever read.
worker98	33	She kindly showed me around the town.
worker98	555	We can swim in the ocean because it is hot today.  
worker98	299	Do you think he can handle the job?
worker98	794	It has been 10 years since I have lived here.
worker16	315	If it had not been storm, I would have been there on time.
worker16	128	Tom has talking on the phone for an hour.
worker16	834	I used to go fishing in early morning every Sunday.
worker16	391	It seems that this winter is the coldest in these ten years.
worker16	708	I met a girl whom I met at the park before.
worker16	87	I thought I must not sit down.
worker16	275	I decided to be a journalist.
worker16	712	Read useful books for you.
worker16	781	To say the truth,we have married last year.
worker16	565	I will work at my father's office.
worker99	617	If you don't take care, you will be in trouble.
worker99	17	I went to meet him, but he was out.
worker99	202	Hurry was late for lesson by accident.
worker99	429	You should be in bath, if you are tired.
worker99	318	I have gotten a letter if I am fine by my friend.
worker99	788	I could not trust others before.
worker99	90	He rarely goes to movie.
worker99	888	I found the book lost yesterday.
worker99	875	I will have John to repair my watch.
worker99	123	Return the book after reading.
worker100	137	Please tell me how to reach the station.
worker100	467	I'm happy because it snows lot.
worker100	853	You are too young to go swimming alone.
worker100	481	Confirm if you booked a hotel room.
worker100	916	It's too late to understand diffrence.
worker100	305	There are many fish in the sea.
worker100	203	I am scheduled to go to New York next week.
worker100	553	I'm going to buy the ticket for a moment.
worker100	279	It is the word that she doesn't want to speak.
worker100	504	He accidentaly took  salt in his coffee.
worker10	116	I cannot agree to you about the new plan.
worker10	917	He has not only the bike but also the car.
worker10	196	I cannot understand entirely that she is going to do.
worker10	549	Newspapers are most valuable in today's world.
worker10	541	There was the meeting accidentally in the day.
worker10	373	Like that was in the past.
worker10	610	It takes 20 minutes from the station to the school by walking.
worker10	921	This car cannot run smoothly than before.
worker10	393	It is happy to travel by car.
worker10	104	The airplane from Chicago arrived at airport in midnight.
worker0	671	He is known to the people of the town.
worker0	910	I always look through the newspaper before breakfast.
worker0	878	There is talent in my friend's just him.
worker0	927	No way, I'm not going so far as to say such a thing.
worker0	848	How many days do you arrive.
worker0	801	I have been to the station to see my uncle off.
worker0	444	The other day I met an old friend in the street.
worker0	624	He is not at all listen to what you say father.
worker0	462	My pen is old. I want a new pen.
worker0	864	Please continue practicing after drinking tea.
worker2	667	I haven't heard from you for more than four years.
worker2	415	Luckily, he was in time for the train.
worker2	646	I make it a rule to take a walk early in the morning.
worker2	655	Don't forget to wake me up at 6 AM tomorrow.
worker2	804	We have a lot of rain in June in Japan.
worker2	542	He never goes to the movies.
worker2	306	A few minutes' walk brought us to the park.
worker2	450	Whichever way you take, you'll get to the station.
worker2	334	It is certain that the plane will get there on time.
worker2	378	I don't want to see myself lost.
worker3	51	I'll be back by 6 o'clock every day.
worker3	626	As soon as he heard the news, he began to cry.
worker3	358	This is the very book I've been looking for.
worker3	325	It will rain today.
worker3	220	I always drink two cups of coffee in the morning.
worker3	304	Not a star was to be seen in the sky.
worker3	567	I stopped working for a few hours to go to the doctor.
worker3	840	You'd better talk to him.
worker3	423	You are going to carry out the plan.
worker3	906	I am going to see her again soon.
worker4	439	You regard my idea as old-fashioned.
worker4	309	She was kind enough to carry my baggage.
worker4	95	I'd like you to clean up my room quickly.
worker4	728	He is often late for school.
worker4	805	Be sure to take a note of what she says.
worker4	380	The boys would sometimes play tricks on the teacher.
worker4	253	The two politicians met face to face for the first time.
worker4	173	He has been well off since he started this job.
worker4	697	It was not difficult to pretend to be my mother.
worker4	363	The thief ran toward the station.
worker98	906	I am supposed to meet her in a few days.
worker98	626	He started to cry as soon as he heard the news.  
worker98	90	There is absolutely no chance that he goes to a movie.  
worker98	610	It takes 20 minutes on foot from the station to the school.  
worker98	917	He has not only a car but also a motorbike.  
worker98	822	Please let me know how to get to his house.  
worker98	927	I would never say that.  
worker98	275	I decided to become a journalist.
worker98	378	Because I don't want to see myself being at a loss.
worker98	173	His life became easier since he started this job.
worker95	781	To tell the truth, we got married last year.
worker95	116	I can't agree with you regarding the new plan.
worker95	671	He is known all people in the town.
worker95	921	This car isn't better than before it.
worker95	309	She had kindness to carry my baggage.
worker95	728	He is late for school frequently.
worker95	805	Make a note what her all words  perfectly.
worker95	549	The newspaper is precious in today's world.
worker95	256	I pay 1 dollar to you that is to solve the problem.
worker95	393	Cycling tour is great fun.
worker23	708	The other day I met a girl at the park again.
worker23	137	Colud you tell me the way to the station.
worker23	104	The airplain arrived at airport in midnight from Chicago.
worker23	51	I go back at six everyday.
worker23	794	I used to living here for10years.
worker23	848	Colud you tell me to the ETA?
worker23	196	I don't know what she do next.
worker23	423	You will carry out the plan,won't you?
worker23	617	If you don't take care ,You get into a trouble.
worker23	444	The other day I met a classmate at the street.
worker13	301	You can contact to him tonight at his home.
worker13	87	I thought that I don't have to sit down.
worker13	152	May was in a cold sweat by teater's wors.
worker13	304	I showed just one star in the sky.
worker13	864	Continue practicing, after tea time.
worker13	128	Tom already has been talking for one hour by phone.
worker13	542	He doesn't go to the cinema.
worker13	305	There are a lot of fish in teh sea.
worker13	840	You should talk to him.
worker13	363	The thief went aaway to the station.
worker101	186	The time will arrive.
worker101	283	Don’t give the child more money than is needed.
worker101	315	You would have arrived on time if there was not a storm.
worker101	318	My friends wrote to visiting me.
worker101	893	It’s 11 o’clock, you should go to bed right now.
worker101	878	It is only him who has some talents in all of my friends.
worker101	788	In some periods, i couldn’t believe the other people.
worker101	646	It’s my rule to walk around every early morning.
worker101	745	It is my uncle who wave his hands to me.
worker101	415	Fortunately, he could get on a steam train.
worker97	467	I'm happy that it is snowing a lot.
worker97	667	I had never heard from him for 4 years. 
worker97	801	I just went to the station to see my uncle off.
worker97	555	We can swim at the beach because it's hot today.
worker97	202	He was late for the class because of an accident.
worker97	888	I found the book I lost yesterday.
worker97	541	We happened to have a meeting that day.
worker97	481	Confirm your reservation to the hotel. 
worker97	916	It was too late to understand the difference.
worker97	504	I put salt to my coffee by mistake.
worker98	288	I cannot meet you due to an urgent job.  
worker98	462	My pen is old.  I want to get a new one.
worker98	834	I used to get up early and go to fishing on Sunday.  
worker98	875	I am thinking to have John fix my watch.  
worker98	439	I consider your way of thinking is out of date.
worker98	853	You are not old enough to go swimming by yourself.  
worker98	325	It would rain today.
worker98	306	We came to a park after walking for few minutes.  
worker98	429	Taking a bath is the best when you are tired.  
worker98	380	Boys used to play pranks on their teacher.
worker93	95	I want you to tidy up the room quickly.
worker93	565	I will succeeded my father's work.
worker93	931	He told me to quit the company.
worker93	299	Do you think he can do that job?
worker93	655	Don't forget to wake me up at 6 a.m. tomorrow morning.
worker93	450	You can go to the station whichever way you take.
worker93	17	He was not home when I went to see him.
worker93	567	I stop working 2~3 hours because I have a doctor's appointment.
worker93	553	I'm getting a ticket right now.
worker93	22	I imagined her face at that time.
worker102	624	He never follow what his father tells him.
worker102	253	These two politicians met face by face for the first time.
worker102	804	Japan has much rain in June.
worker102	279	It was what she did not want to express in words.
worker102	159	That dictionary is useful as well as reasonable.
worker102	358	This is the exact book I was looking for.
worker102	391	This winter is the coldest for the first time in 10 years.
worker102	334	It is sure that an airplane will arrive there on time.
worker102	220	I usually have two cups of coffee in the morning.
worker102	910	I usually read through a newspaper before I have breakfast.
worker0	123	When you read the book, put it in its original place.
worker0	373	Before,like it was.
worker0	712	Read such books as are useful to you.
worker0	203	I am planning to go to New York next week.
worker0	233	This is the most interesting story I have ever read.
worker0	10	Let's go home before the rain gets stronger.
worker0	697	It was not difficult to imitate my mother.
worker0	33	She kindly showed me around the town.
worker0	524	I do not want to go out without wearing the coat on such a cold day.
worker0	261	It's heavy and I can not have it.
worker10	220	I take 2 coffee at morning always.
worker10	123	After you read the book, put it original place.
worker10	917	He has not only the bike but also the car.
worker10	186	The time is the time.
worker10	567	I interrupted the job in a few hours for going to see a doctor.
worker10	261	I cannot take it as its heavy.
worker10	467	I'm happy that snow falls a lot.
worker10	373	Like that it was like it in the past.
worker10	921	This car does not run well than before.
worker10	423	You are going to execute the plan.
worker10	380	Boys sometimes used to mischief the teacher.
worker10	22	I came to mind has face first.
worker10	916	It was too late to realize the difference.
worker10	279	It was the thing that she want not to say.
worker10	152	Mary broke into a cold sweat by teachers speech.
worker10	325	It will fall rain today.
worker10	159	The dictionary is useful, and not expensive as a bonus.
worker10	315	If it is not storming I would in time.
worker10	299	Do you think that he can the job.
worker10	481	Confirm whether you reserved the hotel room.
worker93	801	I just went to see my uncle off at the station.
worker93	51	I come home by 6 everyday.
worker93	804	It rains a lot in June in Japan.
worker93	745	A guy who is waving to me is my uncle.
worker93	840	It's better talk to him.
worker93	553	I'm getting a ticket now.
worker93	87	I thought I can't sit dow.
worker93	671	Everyone knows him in this town.
worker93	667	I haven't heard from him more than 4 years.
worker93	203	I am supposed to go to New York next week.
worker97	617	If you don't pay attention, you might be gotten involved in a problem.
worker97	565	I'm intending to work for his business.
worker97	283	Do not give a child money more than enough.
worker97	728	He is often late to school.
worker97	555	We can swim in the ocean because it's hot today.
worker97	788	There was a time, I couldn't believe other people.
worker97	202	Harry was late to school because of an accident.
worker97	95	I want you to clean the room.
worker97	864	Continue practicing after drinking tea.
worker97	358	This is the book I was looking for.
worker13	90	He doesn't go to the cinema.
worker13	781	In truth, we get married last year.
worker13	128	Tom is calling for one hour.
worker13	549	Newspaper is great useful in the world today news.
worker13	253	The politicians met by faace-to-face for the first time.
worker13	910	He always read newspaper before the breakfast.
worker13	256	The problem solve, if I pay one dollar to you.
worker13	893	Now is 11 PM, time to go to bed.
worker13	137	Please teach me how to go to the station.
worker13	275	I decide that I will become to journalist.
worker101	822	Please tell me the way to his house.
worker101	429	Taking bath is the best when you’re tired.
worker101	196	I don’t know at all what she is going to do.
worker101	646	It’s my rule to walk around every early morning.
worker101	304	I can’t see anything in the sky, just one star neither.
worker101	309	She carried my luggagea kindly.
worker101	173	He is well off after beginning this job.
worker101	848	How many days do you take for arrive?
worker101	450	You can take any ways for the station.
worker101	805	Please take a note during she speak.
worker103	288	Because of urgent work, I can't meet up with you.
worker103	610	It takes twenty minutes from that station to this school.
worker103	626	He suddenly cried afrer listening to information.
worker103	306	We came to park after taking a minute.
worker103	393	It is fun that I travel by bicycle.
worker103	378	I don't want to see myself that being at a loss.
worker103	363	That thief escaped in the direction of station.
worker103	888	I saw book that I lost yesterday.
worker103	305	Many fish live in the sea.
worker103	712	You should read useful books for you.
worker104	439	You regard my idea as old-fashioned.
worker104	104	The plane from Chicago arrived at the airpote late at night.
worker104	301	You can get in touch with him at his home tonight.
worker104	931	He told me that he wanted to leave the company.
worker104	624	He never takes any notice of what his father says.
worker104	524	I don't want to go out without a coat on such a cold day.
worker104	834	On Sunday, I would often get up early and go fishing.
worker104	794	It has been ten years since I came to live here.
worker104	708	I met again the girl who I had met in the park the other day.
worker104	233	This is the mont interesting book I've ever read.
worker92	875	I will ask John to repair my watch.
worker92	10	It's better going home before the rain starts heavier.
worker92	33	She guided the town for me.
worker92	462	I want new pen because it's old.
worker92	334	I'm sure the airplane will be landing on time.
worker92	391	It's really cold this winter since 10 years ago.
worker92	906	I supposed to meet her again in a few days.
worker92	541	I accidentally have a meeting on that day.
worker92	318	One of my friend sent me a letter to ask me I'm okay.
worker92	878	 He is most talented man in all my friends.
worker15	927	I do not mean to say to such a thing.
worker15	542	He does not go for a movie.
worker15	116	I cannot agree with you about the new plan.
worker15	444	I met a classmate the other day in a street.
worker15	697	It was not difficult to pretend to be mother.
worker15	853	You are not the age that is good to swim alone.
worker15	17	I went to meet him, but was away.
worker15	504	He put salt in coffee by mistake.
worker15	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
worker15	415	Fortunately he was in time for a train.
worker93	624	He never listen to his father.
worker93	305	There are plenty of fish in the sea.
worker93	415	Luckily, he was in time fo the train.
worker93	288	I can't meet you due to emergency work.
worker93	712	You should read a book which you can learn a lot from.
worker93	256	If I pay $1 to you , it's all done.
worker93	123	Put it back to the original place when you finish the book.
worker93	196	I have no idea what she wants to do.
worker93	220	I usually drink 2 cups of coffee every morning.
worker93	315	You should have been there in time if the storm didn't come.
worker98	921	This car does not drive as good as it used to.
worker98	325	It would rain today.
worker98	667	It has been more than 4 years since we contacted each other last time.. 
worker98	363	The thief ran away towards the station.  
worker98	553	I am going to go to buy a ticket.  
worker98	309	She kindly carried my stuff.
worker98	378	Because I do not want to see myself miserable.
worker98	137	Please tell me how to get to the station.
worker98	541	It happens to be a meeting that day.  
worker98	655	Please do not forget to wake me up at 6 AM tomorrow.
worker23	910	I usually look at the newspaper every morning.
worker23	524	I don't want go outside without coat.
worker23	253	 Two politicians met at first time.
worker23	358	This is a book  what my always searching！ 
worker23	261	I can't have it because too heavy to me.
worker23	152	Meary broke a cold sweat by teacher's words.
worker23	567	I interrupted my job for 2-3hours to go hospital.
worker23	504	He had mistake salt into the coffee.
worker23	671	He is very famous in the city.
worker23	853	You are so young that you can't swim alone.
worker101	90	He has no ideas to go to cinema.
worker101	864	Keep practicing after drinking the tea.
worker101	610	It takes 20 minutes to walk to the school from the station.
worker101	279	That is something that she didn’t want to say.
worker101	429	Taking bath is the best way when you’re tired.
worker101	444	One day, I met a classmate in the street.
worker101	697	It’s not difficult for me to pretend to be mother.
worker101	233	This is the most interesting story ever i read.
worker101	481	Please check if we had already booked one room in the hotel.
worker101	275	I made up my mind to become a journalist.
worker97	306	We came to the park by walking few minutes.
worker97	299	Do you think he can do the job?
worker97	462	My pen is old. I want a new one.
worker97	159	The dictionary is useful and inexpensive.
worker97	840	You had better talk to him.
worker97	794	It's been 10 years since I started living here.
worker97	916	It is too late to know the difference.
worker97	380	The boys sometimes played a prank to their teacher.
worker97	33	It is kind of her to show the town for me.
worker97	128	Tom has kept talking on the phone for an hour.
worker0	927	Surely,I do not mean to say such a thing.
worker0	393	It is fun to travel in a car.
worker0	822	Please tell me the way to his house.
worker0	626	As soon as he heard the news, he burst into tears.
worker0	875	I will have John repair my watch.
worker0	848	How long will it arrive?
worker0	439	You regard my opinion as out of date.
worker0	549	Newspapers are very valuable in the present world.
worker0	805	Please be sure to take notes on what she says.
worker0	203	I'm supposed to go to New York next week.
worker100	804	It rains a lot in June in Japan.
worker100	334	It is certain that the airplane arrive on time.
worker100	646	I make it a rule to walk early morning.
worker100	22	Her face came to my mind at first.
worker100	304	We didn't look at any stars in the sky.
worker100	834	I used to wake up early morning and go to fishing.
worker100	450	You can go to the station in any road.
worker100	51	I go back home untill six o'clock.
worker100	318	My friends sent me a letter asking how I was.
worker100	10	Let's go home before it rains hard.
worker92	542	He rarely go watch movies.
worker92	87	I thought I shouldn't sit.
worker92	917	He has a bike not only a car.
worker92	17	He was out of home when I try to see him.
worker92	906	We're planning to see each other again in the near future.
worker92	373	It seems like it should be long time ago.
worker92	116	I cannot agree with you regarding the new plan.
worker92	888	I found a book which  I thought I lost it yesterday.
worker92	202	Harry was late for the class due to the accident yesterday.
worker92	423	You are going to run the plan, right?
worker98	617	Be careful, otherwise you get into trouble.  
worker98	728	He is often late for school.
worker98	781	We actually got married last year.  
worker98	391	This is the coldest winter we have had in the past ten years.  
worker98	893	It is 11 and is already bed time.
worker98	878	He is the only person who is talented among my friends.  
worker98	467	I am glad that it snowed a lot.  
worker98	745	A person who is waving at me is my uncle.
worker98	173	His life got easier since he started this job.
worker98	95	I want you to hurry up and clean the room.  
worker13	801	I went to the station to see off my uncle, just now.
worker13	301	You can talk to him tonight at his house.
worker13	283	You give only required money to the child.
worker13	565	I will occupy my self in my father's business.
worker13	104	I arrived at the airport by airplane from Chicago. 
worker13	708	I met the girl in the park, whom I met her few days ago.
worker13	186	Time is now to do it.
worker13	788	I had the experiment that I didn't believe other persons.
worker13	555	We can swim at the sea, today is hot day.
worker13	931	He talked me that he wanted to retire.
worker97	196	I have no idea what she is going to do.
worker97	309	It was kind of her to help me carrying my stuff.
worker97	10	Let's go home before the rain gets harder.
worker97	393	It is fun to travel with a bicycle.
worker97	553	I'm going to get my ticket quickly.
worker97	848	How long does it take to get there?
worker97	220	I drink 2 cups of coffee in the morning.
worker97	391	The coldness of this winter is after 10 years.
worker97	423	Are you intend to enforce the plan?
worker97	804	It rains a lot in June in Japan.
worker101	555	Today is so hot that we can swim in the sea.
worker101	667	It has been more than 4 years without any contacts.
worker101	301	You can contact him tonight in his house.
worker101	358	This is the book I was looking for 
worker101	305	We have many fishes in the sea.
worker101	256	We can get liquidation if you paid one dollar for me.
worker101	549	The newspaper is very valuable today.
worker101	325	It will be raining today.
worker101	906	I’m going to see her soon.
worker101	822	Please tell me the way to his house.
worker105	712	Read the book that is useful for you.
worker105	299	Do you think he can complete the work.
worker105	626	He started to cry as soon as he heard the news.
worker105	152	Mary break into a cold sweat with the word her teacher said.
worker105	921	This car works worse than before.
worker105	481	Confirm that the room was reserved with the hotel.
worker105	429	It is the best to take a bath when you are tired . 
worker105	116	I cannot agree with you about the new plan.
worker105	186	What will be, will be.
worker105	888	I found the book I lose yesterday.
worker15	617	It is rolled up in a problem when not careful.
worker15	283	Do not hand money more than required to a child.
worker15	462	My pen is old. I want a new thing.
worker15	542	He does not go for a movie.
worker15	878	It is only him that there is talent among my friends.
worker15	334	It is sure that an airplane arrives there on time.
worker15	927	I do not mean to say to such a thing.
worker15	840	You should talk to him.
worker15	137	Please tell me how you go to the station.
worker15	450	I appear at the station even if I go any way.
worker5	318	My friend gave the letter he asks whether I was fine to me.
worker5	95	Do you want you to clear a room quickly?
worker5	467	I'm happy because it snows much.
worker5	524	I don't want to go out without coats on such cold day.
worker5	261	It's heavy and isn't popular with me.
worker5	415	Happily he made a train.
worker5	373	I think that it seemed so before.
worker5	315	If it isn't a storm, it would be enough.
worker5	253	The 2 politicians met face to face for the first time.
worker5	202	Harry was late for the class yesterday for an accident.
worker59	893	It's 11, time to go to bed.
worker59	128	Tom's on the phone for an hour.
worker59	233	This is the best story I've ever read.
worker59	33	She kindly showed me around the town.
worker59	931	He said to me that he wanted to quit his job.
worker59	697	It was not difficult to pretend to be my mother.
worker59	378	I never want to see myself at a loss again.
worker59	610	It takes 12 minutes to walk from the station to school.
worker59	90	He never goes to the movies.
worker59	363	The thief ran away in the direction of the station.
worker101	504	He put some salt in the coffee accidentally.
worker101	159	This dictionary is valuable, and is not expensive.
worker101	788	I had some periods that i couldn’t trust anyone.
worker101	444	One day I met my classmate in the street.
worker101	917	He owns not only his bike but also his car.
worker101	875	I think my clock will have repaired by John.
worker101	805	Please take a note when she speaks.
worker101	203	I’m going to New York next week.
worker101	288	I couldn't see you because of my job.
worker101	567	I stopped my job for 2 or 3 hours for go to doctor.
worker15	671	He is known to a person of the downtown.
worker15	916	It was too late to understand a difference.
worker15	910	I always take a look at a newspaper before breakfast.
worker15	51	I return every day by 6:00.
worker15	439	You consider my thought outdated.
worker15	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
worker15	380	Boys sometimes played a trick on a teacher.
worker15	864	After having drunk tea, continue practicing.
worker15	173	He has good living after he begins this work.
worker15	87	I thought whether I must not sit down.
worker10	624	He does not hear father's speech entirely.
worker10	304	I cannot see any stars in the sky.
worker10	745	The man handing to me is uncle.
worker10	22	Came to mind her face at first.
